,,,,,,,,,,,,,,,,,,,
Week 1 - June 8-12,,,,,,,Week 2 - June 15-19,,,,,,,Week 3 - June 22-26,,,,,
"10:30 AM PST
","Welcome to Fresha
Company Background",,,,,,,,,,,,,,,,,,
"11:00 AM PST
",,,,,,,,,,,,,,,,,,,
11:30 AM PST,"BD Monday
Morning Meeting",,,,Friday Pipeline Meeting,,,,,,,,,,,,,,
"12:00 PM PST
",,"Tuesday
Sales Standup","Wednesday
Sales Standup","Thursday
Sales Standup",,,,,,,,,,,,,,,
"12:30 PM PST
",Lunch,Lunch,Lunch,Lunch,Lunch,,,,,,,,,,,,,,
"1:00 PM PST
",,,,,,,,,,,,,,,,,,,
"1:30 PM PST
",PT001 - Launch Into Fresha,PT003 - Team & Staff,"PT005 - Booking, Resources & Calendar","PT007 - Payments & Checkout, Team Pay",,,,,,,,,,,,,,,
"2:00 PM PST
",PT002 - Marketplace & Book Now,PT004 - Services & Pricing,PT006 - Inventory & Products,PT008 - Marketing & Client Engagement,,,,,,,,,,,,,,,
"2:30 PM PST
",,,,,,,,,,,,,,,,,,,
"3:00 PM PST
",,,,,,,,,,,,,,,,,,,
"3:30 PM PST
",,,,,,,,,,,,,,,,,,,
"4:00 PM PST
",,,,,,,,,,,,,,,,,,,
"4:30 PM PST
",EOD Catch-up,EOD Catch-up,EOD Catch-up,EOD Catch-up,EOD Catch-up,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Week 0 - Isaiah / Tri,,,,,,,,,,,,,,,,,,,
9:30 AM,"Team Kickoff
+ Induction",Daily Catch-up,Daily Catch-up,Daily Catch-up,✈ Travel Day,,,,,,,,,,,,,,
10:30 AM,Tech Setup - intro to Fresha,PT003 - Team & Staff,PT006 - Inventory & Products,PT009 - Reporting & Insights,Independent Work,,,,,,,,,,,,,,
11:30 AM,"BD Monday
Morning Meeting","Tuesday
Sales Standup","Wednesday
Sales Standup","Thursday
Sales Standup",Friday Pipeline Meeting,,,,,,,,,,,,,,
12:30 PM,Lunch,Lunch,Lunch,Lunch,,,,,,,,,,,,,,,
1:30 PM,PT001 - Launch Into Fresha,PT004 - Services & Pricing,"PT007 - Payments & Checkout, Team Pay",Independent Work,Independent Work,,,,,,,,,,,,,,
2:30 PM,PT002 - Marketplace & Book Now,"PT005 - Booking, Resources & Calendar",PT008 - Marketing & Client Engagement,Independent Work,Independent Work,,,,,,,,,,,,,,
3:30 PM,Gong Call Shadow,Gong Call Shadow,Gong Call Shadow,Gong Call Shadow,Gong Call Shadow,,,,,,,,,,,,,,
4:30 PM,EOD Catch-up,EOD Catch-up,EOD Catch-up,EOD Catch-up,EOD Catch-up,,,,,,,,,,,,,,
